Day,Month,Year,HRUID,GIS_ID,HRU,Area(km2),lateral_flow(m3),surface_runoff(m3),ET(m3)
30,6,1992,13,13,hru13           ,35.1,.00,1.05,3.20
31,7,1992,1,1,hru01           ,.186E+04,.00,57.5,165.
31,7,1992,2,2,hru02           ,.215E+04,.00,66.7,142.
31,7,1992,3,3,hru03           ,968.,.00,30.0,.00
31,7,1992,4,4,hru04           ,905.,.00,28.0,.00
31,7,1992,5,5,hru05           ,.209E+04,.00,63.7,197.
31,7,1992,6,6,hru06           ,536.,.00,16.6,50.5
31,7,1992,7,7,hru07           ,619.,.00,19.2,.00
31,7,1992,8,8,hru08           ,615.,.00,18.7,57.9
31,7,1992,9,9,hru09           ,719.,.00,21.8,67.7
31,7,1992,10,10,hru10           ,414.,.00,12.8,36.7
31,7,1992,11,11,hru11           ,79.8,.00,2.38,7.08
31,7,1992,12,12,hru12           ,132.,.00,4.07,11.7
31,7,1992,13,13,hru13           ,35.1,.00,1.08,3.31
31,8,1992,1,1,hru01           ,.186E+04,.00,57.5,165.
31,8,1992,2,2,hru02           ,.215E+04,.00,66.7,.00
31,8,1992,3,3,hru03           ,968.,.00,30.0,.00
31,8,1992,4,4,hru04           ,905.,.00,28.0,.00
31,8,1992,5,5,hru05           ,.209E+04,.00,63.7,197.
31,8,1992,6,6,hru06           ,536.,.00,16.6,50.3
31,8,1992,7,7,hru07           ,619.,.00,19.2,.00
31,8,1992,8,8,hru08           ,615.,.00,18.7,57.7
31,8,1992,9,9,hru09           ,719.,.00,21.8,67.7
31,8,1992,10,10,hru10           ,414.,.00,12.8,36.7
31,8,1992,11,11,hru11           ,79.8,.00,2.38,7.08
31,8,1992,12,12,hru12           ,132.,.00,4.07,11.7
31,8,1992,13,13,hru13           ,35.1,.00,1.08,3.31
30,9,1992,1,1,hru01           ,.186E+04,.00,55.6,21.2
30,9,1992,2,2,hru02           ,.215E+04,.00,64.6,.455E+07
30,9,1992,3,3,hru03           ,968.,.00,29.0,.206E+07
30,9,1992,4,4,hru04           ,905.,.00,27.1,.457E+07
30,9,1992,5,5,hru05           ,.209E+04,.00,61.6,.442E+07
30,9,1992,6,6,hru06           ,536.,.00,16.0,.816E+06
30,9,1992,7,7,hru07           ,619.,.00,18.6,.00
30,9,1992,8,8,hru08           ,615.,.00,18.1,.130E+07
30,9,1992,9,9,hru09           ,719.,.00,21.1,.183E+07
30,9,1992,10,10,hru10           ,414.,.00,12.4,28.4
30,9,1992,11,11,hru11           ,79.8,.00,2.31,5.48
30,9,1992,12,12,hru12           ,132.,.00,3.94,9.07
30,9,1992,13,13,hru13           ,35.1,.00,1.05,.488E+05
31,10,1992,1,1,hru01           ,.186E+04,.00,57.5,.139E+08
31,10,1992,2,2,hru02           ,.215E+04,.00,66.7,.265E+08
31,10,1992,3,3,hru03           ,968.,.00,30.0,.155E+08
31,10,1992,4,4,hru04           ,905.,.00,28.0,.145E+08
31,10,1992,5,5,hru05           ,.209E+04,.00,63.7,.257E+08
31,10,1992,6,6,hru06           ,536.,.00,16.6,.794E+07
31,10,1992,7,7,hru07           ,619.,.00,19.2,.128E+08
31,10,1992,8,8,hru08           ,615.,.00,18.7,.756E+07
31,10,1992,9,9,hru09           ,719.,.00,21.8,.129E+08
31,10,1992,10,10,hru10           ,414.,.00,12.8,.596E+07
31,10,1992,11,11,hru11           ,79.8,.00,2.38,.115E+07
31,10,1992,12,12,hru12           ,132.,.00,4.07,.190E+07
31,10,1992,13,13,hru13           ,35.1,.00,1.08,.800E+06
30,11,1992,1,1,hru01           ,.186E+04,.00,55.6,.166E+09
30,11,1992,2,2,hru02           ,.215E+04,.00,64.6,.240E+09
30,11,1992,3,3,hru03           ,968.,.00,29.0,.110E+09
30,11,1992,4,4,hru04           ,905.,.00,27.1,.904E+08
30,11,1992,5,5,hru05           ,.209E+04,.00,61.6,.197E+09
30,11,1992,6,6,hru06           ,536.,.00,16.0,.393E+08
30,11,1992,7,7,hru07           ,619.,.00,18.6,.535E+08
30,11,1992,8,8,hru08           ,615.,.00,18.1,.578E+08
30,11,1992,9,9,hru09           ,719.,.00,21.1,.814E+08
30,11,1992,10,10,hru10           ,414.,.00,12.4,.324E+08
30,11,1992,11,11,hru11           ,79.8,.00,2.31,.625E+07
30,11,1992,12,12,hru12           ,132.,.00,3.94,.103E+08
30,11,1992,13,13,hru13           ,35.1,.00,1.05,.317E+07
31,12,1992,1,1,hru01           ,.186E+04,.00,57.5,.250E+09
31,12,1992,2,2,hru02           ,.215E+04,.808E+06,.178E+07,.332E+09
31,12,1992,3,3,hru03           ,968.,.267E+06,.144E+06,.143E+09
31,12,1992,4,4,hru04           ,905.,.106E+06,.562E+07,.146E+09
31,12,1992,5,5,hru05           ,.209E+04,.205E+07,63.7,.210E+09
31,12,1992,6,6,hru06           ,536.,.205E+07,16.6,.475E+08
