 u_sabi                    SWAT+ Sep 8  2020    MODULAR Rev 2020.60.5                                     
  jday,   mon,   day,    yr,   unit , gis_id , name           ,         flo_in ,         aqu_in ,        flo_out ,          peakr,         sed_in,        sed_out,         washld,          bedld,            dep,        deg_btm,       deg_bank,         hc_sed,          width,          depth,          slope,        deg_btm,       deg_bank,         hc_len,      flo_in_mm ,      aqu_in_mm ,     flo_out_mm 
      ,      ,      ,      ,        ,        ,                ,          m^3/s ,          m^3/s ,          m^3/s ,          m^3/s,           tons,           tons,           tons,           tons,           tons,           tons,           tons,           tons,              m,              m,            m/m,              m,              m,              m,             mm ,             mm ,             mm 
91,3,31,1992,1,1,cha01           ,1.02,.00,1.02,32.5,.939E+05,.122E+06,.470E+05,.00,.101E-07,.733E+05,.168E+04,.00,79.8,2.06,.824E-02,.758E-01,.604E-01,.00,2.81,.00,2.81
91,3,31,1992,2,2,cha02           ,3.01,.00,3.01,96.4,.198E+06,.333E+06,.992E+05,.00,.896E-08,.212E+06,.434E+04,.178E+05,118.,2.67,.554E-02,.972E-01,.787E-01,1.52,4.35,.00,4.35
91,3,31,1992,3,3,cha03           ,.463,.00,.463,14.8,.328E+05,.232E+05,.164E+05,.00,726.,.660E+04,184.,.00,76.7,2.00,.246E-02,.156E-01,.149E-01,.00,1.37,.00,1.37
91,3,31,1992,4,4,cha04           ,.602,.00,.602,19.3,.510E+05,.327E+05,.255E+05,.00,.128E-07,.699E+04,189.,.00,61.1,1.74,.406E-02,.366E-01,.312E-01,.00,2.60,.00,2.60
91,3,31,1992,5,5,cha05           ,4.12,.00,4.12,132.,.292E+06,.325E+06,.146E+06,.00,415.,.175E+06,.329E+04,.00,168.,3.38,.653E-02,.107,.894E-01,.00,3.28,.00,3.28
91,3,31,1992,6,6,cha06           ,.276,.00,.276,8.82,.821E+04,.396E+05,.411E+04,.00,.970E-08,.346E+05,927.,.00,129.,2.83,.598E-02,.107E-01,.117E-01,.00,.343,.00,.343
91,3,31,1992,7,7,cha07           ,4.79,.00,4.79,153.,.316E+06,.213E+06,.158E+06,.00,530.,.540E+05,989.,.00,237.,4.21,.234E-02,.400E-01,.368E-01,.00,2.16,.00,2.16
91,3,31,1992,8,8,cha08           ,.694E-01,.00,.694E-01,2.22,.234E-07,45.3,.117E-07,.00,.945E-08,27.9,17.4,.00,60.8,1.70,.279E-02,.112E-03,.224E-02,.00,.302,.00,.302
91,3,31,1992,9,9,cha09           ,6.30,.00,6.30,202.,.408E+06,.227E+06,.204E+06,.00,781.,.225E+05,377.,.00,345.,5.43,.391E-02,.485E-01,.462E-01,.00,1.52,.00,1.52
91,3,31,1992,10,10,cha10           ,6.30,.00,6.30,202.,.408E+06,.232E+06,.204E+06,.00,699.,.276E+05,496.,.00,331.,5.27,.234E-02,.298E-01,.302E-01,.00,1.63,.00,1.63
91,3,31,1992,11,11,cha11           ,4.91,.00,4.91,157.,.318E+06,.172E+06,.159E+06,.00,609.,.130E+05,249.,.00,253.,4.40,.150E-02,.247E-01,.245E-01,.00,1.99,.00,1.99
91,3,31,1992,12,12,cha12           ,1.28,.00,1.28,40.8,.838E+05,.180E+06,.419E+05,.00,9.49,.135E+06,.315E+04,.00,176.,3.47,.448E-02,.255E-01,.270E-01,.00,.944,.00,.944
91,3,31,1992,13,13,cha13           ,.813E-05,.00,.813E-05,.260E-03,.234E-07,.117E-07,.117E-07,.00,.117E-07,.00,.00,.00,66.8,1.81,.419E-02,.00,.00,.00,.303E-04,.00,.303E-04
121,4,30,1992,1,1,cha01           ,.457E-03,.00,.458E-03,.146E-01,.224E-07,.112E-07,.112E-07,.00,.112E-07,.00,.00,.00,79.8,2.08,.824E-02,.00,.00,.00,.122E-02,.00,.123E-02
121,4,30,1992,2,2,cha02           ,1.57,.00,1.57,50.2,.481E+05,.150E+06,.240E+05,.00,.108E-07,.123E+06,.248E+04,.00,118.,2.69,.554E-02,.583E-01,.460E-01,.00,2.19,.00,2.19
121,4,30,1992,3,3,cha03           ,.152E-02,.00,.153E-02,.487E-01,.265E-07,.132E-07,.132E-07,.00,.132E-07,.00,.00,.00,76.7,2.00,.246E-02,.00,.00,.00,.436E-02,.00,.437E-02
121,4,30,1992,4,4,cha04           ,.652E-03,.00,.655E-03,.209E-01,.266E-07,.133E-07,.133E-07,.00,.133E-07,.00,.00,.00,61.1,1.75,.406E-02,.00,.00,.00,.273E-02,.00,.274E-02
121,4,30,1992,5,5,cha05           ,1.58,.00,1.58,50.6,.481E+05,.808E+05,.240E+05,.00,8.17,.558E+05,.100E+04,.00,168.,3.41,.653E-02,.352E-01,.280E-01,.00,1.22,.00,1.22
121,4,30,1992,6,6,cha06           ,.885,.00,.885,28.3,.229E+05,.964E+05,.115E+05,.00,.108E-07,.833E+05,.165E+04,.00,129.,2.83,.598E-02,.267E-01,.216E-01,.00,1.07,.00,1.06
121,4,30,1992,7,7,cha07           ,2.48,.00,2.48,79.2,.710E+05,.605E+05,.355E+05,.00,.474E-07,.246E+05,452.,.00,237.,4.22,.234E-02,.188E-01,.173E-01,.00,1.08,.00,1.08
121,4,30,1992,8,8,cha08           ,.921E-02,.00,.923E-02,.295,.227E-07,.113E-07,.113E-07,.00,.113E-07,.00,.00,.00,60.8,1.70,.279E-02,.00,.00,.00,.388E-01,.00,.389E-01
121,4,30,1992,9,9,cha09           ,2.51,.00,2.51,80.5,.710E+05,.459E+05,.355E+05,.00,.129E-06,.103E+05,161.,.00,345.,5.44,.391E-02,.228E-01,.204E-01,.00,.586,.00,.586
121,4,30,1992,10,10,cha10           ,2.51,.00,2.51,80.5,.710E+05,.483E+05,.355E+05,.00,.116E-06,.125E+05,219.,.00,331.,5.28,.234E-02,.140E-01,.137E-01,.00,.629,.00,.628
121,4,30,1992,11,11,cha11           ,2.48,.00,2.48,79.5,.710E+05,.412E+05,.355E+05,.00,.704E-07,.555E+04,112.,.00,253.,4.40,.150E-02,.109E-01,.114E-01,.00,.973,.00,.973
121,4,30,1992,12,12,cha12           ,.302E-01,.00,.303E-01,.967,.741E-07,3.54,.370E-07,.00,.358E-07,.00,3.54,.00,176.,3.48,.448E-02,.00,.312E-04,.00,.217E-01,.00,.217E-01
121,4,30,1992,13,13,cha13           ,.813E-05,.00,.813E-05,.260E-03,.226E-07,.113E-07,.113E-07,.00,.113E-07,.00,.00,.00,66.8,1.81,.419E-02,.00,.00,.00,.293E-04,.00,.293E-04
152,5,31,1992,1,1,cha01           ,.112E-04,.00,.112E-04,.358E-03,.231E-07,.116E-07,.116E-07,.00,.116E-07,.00,.00,.00,79.8,2.08,.824E-02,.00,.00,.00,.310E-04,.00,.310E-04
152,5,31,1992,2,2,cha02           ,.215E-04,.00,.265E-04,.687E-03,.231E-07,.116E-07,.116E-07,.00,.116E-07,.00,.00,.00,118.,2.71,.554E-02,.00,.00,.00,.310E-04,.00,.382E-04
152,5,31,1992,3,3,cha03           ,.105E-04,.00,.105E-04,.335E-03,.274E-07,.137E-07,.137E-07,.00,.137E-07,.00,.00,.00,76.7,2.00,.246E-02,.00,.00,.00,.310E-04,.00,.310E-04
152,5,31,1992,4,4,cha04           ,.716E-05,.00,.716E-05,.229E-03,.275E-07,.137E-07,.137E-07,.00,.137E-07,.00,.00,.00,61.1,1.75,.406E-02,.00,.00,.00,.310E-04,.00,.310E-04
152,5,31,1992,5,5,cha05           ,.438E-04,.00,.509E-04,.140E-02,.653E-07,.327E-07,.327E-07,.00,.327E-07,.00,.00,.00,168.,3.42,.653E-02,.00,.00,.00,.350E-04,.00,.406E-04
152,5,31,1992,6,6,cha06           ,.351E-03,.00,.715E-03,.112E-01,.231E-07,.116E-07,.116E-07,.00,.116E-07,.00,.00,.00,129.,2.84,.598E-02,.00,.00,.00,.436E-03,.00,.889E-03
152,5,31,1992,7,7,cha07           ,.770E-03,.00,.138E-02,.247E-01,9.95,4.98,4.98,.00,4.98,.00,.00,.00,237.,4.23,.234E-02,.00,.00,.00,.348E-03,.00,.623E-03
152,5,31,1992,8,8,cha08           ,.697E-05,.00,.697E-05,.223E-03,.234E-07,.117E-07,.117E-07,.00,.117E-07,.00,.00,.00,60.8,1.70,.279E-02,.00,.00,.00,.304E-04,.00,.304E-04
152,5,31,1992,9,9,cha09           ,.285E-02,.00,.345E-02,.912E-01,64.6,32.3,32.3,.00,32.3,.00,.00,.00,345.,5.45,.391E-02,.00,.00,.00,.686E-03,.00,.831E-03
152,5,31,1992,10,10,cha10           ,.215E-02,.00,.284E-02,.687E-01,45.8,22.9,22.9,.00,22.9,.00,.00,.00,331.,5.28,.234E-02,.00,.00,.00,.554E-03,.00,.734E-03
152,5,31,1992,11,11,cha11           ,.139E-02,.00,.210E-02,.444E-01,26.4,13.2,13.2,.00,13.2,.00,.00,.00,253.,4.41,.150E-02,.00,.00,.00,.561E-03,.00,.851E-03
152,5,31,1992,12,12,cha12           ,.414E-04,.00,.414E-04,.133E-02,.779E-07,.389E-07,.389E-07,.00,.389E-07,.00,.00,.00,176.,3.48,.448E-02,.00,.00,.00,.307E-04,.00,.307E-04
152,5,31,1992,13,13,cha13           ,.813E-05,.00,.813E-05,.260E-03,.234E-07,.117E-07,.117E-07,.00,.117E-07,.00,.00,.00,66.8,1.81,.419E-02,.00,.00,.00,.303E-04,.00,.303E-04
182,6,30,1992,1,1,cha01           ,.112E-04,.00,.112E-04,.358E-03,.224E-07,.112E-07,.112E-07,.00,.112E-07,.00,.00,.00,79.8,2.08,.824E-02,.00,.00,.00,.300E-04,.00,.300E-04
182,6,30,1992,2,2,cha02           ,.215E-04,.00,.215E-04,.687E-03,.224E-07,.112E-07,.112E-07,.00,.112E-07,.00,.00,.00,118.,2.71,.554E-02,.00,.00,.00,.300E-04,.00,.300E-04
182,6,30,1992,3,3,cha03           ,.105E-04,.00,.105E-04,.335E-03,.265E-07,.132E-07,.132E-07,.00,.132E-07,.00,.00,.00,76.7,2.00,.246E-02,.00,.00,.00,.300E-04,.00,.300E-04
182,6,30,1992,4,4,cha04           ,.716E-05,.00,.716E-05,.229E-03,.266E-07,.133E-07,.133E-07,.00,.133E-07,.00,.00,.00,61.1,1.75,.406E-02,.00,.00,.00,.300E-04,.00,.300E-04
182,6,30,1992,5,5,cha05           ,.389E-04,.00,.389E-04,.124E-02,.637E-07,.318E-07,.318E-07,.00,.318E-07,.00,.00,.00,168.,3.42,.653E-02,.00,.00,.00,.300E-04,.00,.300E-04
182,6,30,1992,6,6,cha06           ,.249E-04,.00,.249E-04,.797E-03,.224E-07,.112E-07,.112E-07,.00,.112E-07,.00,.00,.00,129.,2.84,.598E-02,.00,.00,.00,.300E-04,.00,.300E-04
