Day,Month,Year,HRUID,GIS_ID,HRU,Area(km2),lateral_flow(m3),surface_runoff(m3),ET(m3)
31,12,1997,7,7,hru07           ,619.,.180E+07,.294E+08,.485E+09
31,12,1997,8,8,hru08           ,615.,.637E+08,.925E+08,.409E+09
31,12,1997,9,9,hru09           ,.143E+04,.138E+09,.219E+09,.888E+09
31,12,1997,10,10,hru10           ,3.58,.848E+05,.226E+05,.243E+07
31,12,1997,11,11,hru11           ,9.78,.873E+04,.423E+05,.688E+07
31,12,1997,12,12,hru12           ,2.12,.819E+04,.480E+05,.143E+07
31,12,1997,13,13,hru13           ,.394E+04,.166E+09,.431E+06,.270E+10
31,12,1998,1,1,hru01           ,5.40,.602E+04,.119E+06,.376E+07
31,12,1998,2,2,hru02           ,3.43,.807E+04,.122E+06,.247E+07
31,12,1998,3,3,hru03           ,968.,.219E+07,.311E+08,.719E+09
31,12,1998,4,4,hru04           ,905.,.454E+06,.308E+08,.671E+09
31,12,1998,5,5,hru05           ,.209E+04,.952E+08,.429E+08,.119E+10
31,12,1998,6,6,hru06           ,536.,.178E+08,.293E+07,.277E+09
31,12,1998,7,7,hru07           ,619.,.266E+06,.230E+08,.457E+09
31,12,1998,8,8,hru08           ,615.,.304E+08,.126E+08,.348E+09
31,12,1998,9,9,hru09           ,.143E+04,.528E+08,.324E+08,.804E+09
31,12,1998,10,10,hru10           ,3.58,.167E+05,.594E+05,.216E+07
31,12,1998,11,11,hru11           ,9.78,.147E+04,.130E+06,.596E+07
31,12,1998,12,12,hru12           ,2.12,.172E+04,.465E+05,.127E+07
31,12,1998,13,13,hru13           ,.394E+04,.540E+08,.591E+07,.252E+10
31,12,1999,1,1,hru01           ,5.40,.148E+06,.592E+06,.427E+07
31,12,1999,2,2,hru02           ,3.43,.605E+05,.267E+06,.291E+07
31,12,1999,3,3,hru03           ,968.,.226E+08,.663E+08,.821E+09
31,12,1999,4,4,hru04           ,905.,.438E+07,.389E+08,.760E+09
31,12,1999,5,5,hru05           ,.209E+04,.237E+09,.529E+09,.127E+10
31,12,1999,6,6,hru06           ,536.,.127E+09,.455E+08,.286E+09
31,12,1999,7,7,hru07           ,619.,.334E+07,.383E+08,.561E+09
31,12,1999,8,8,hru08           ,615.,.763E+08,.152E+09,.371E+09
31,12,1999,9,9,hru09           ,.143E+04,.153E+09,.327E+09,.892E+09
31,12,1999,10,10,hru10           ,3.58,.520E+05,.622E+05,.248E+07
31,12,1999,11,11,hru11           ,9.78,.298E+04,.113E+06,.702E+07
31,12,1999,12,12,hru12           ,2.12,.681E+04,.682E+05,.146E+07
31,12,1999,13,13,hru13           ,.394E+04,.119E+09,.214E+07,.266E+10
