Jday,Day,Month,Year,HRUID,GIS_ID,HRU,Area(km2),lateral_flow(m3),surface_runoff(m3),ET(m3)
1,1,1,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
1,1,1,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
1,1,1,1992,3,3,hru03           ,968.,.00,.968,.00
1,1,1,1992,4,4,hru04           ,905.,.00,.905,.00
1,1,1,1992,5,5,hru05           ,.209E+04,.00,2.05,.595E+07
1,1,1,1992,6,6,hru06           ,536.,.00,.535,.131E+07
1,1,1,1992,7,7,hru07           ,619.,.00,.619,.413E+07
1,1,1,1992,8,8,hru08           ,615.,.00,.603,.175E+07
1,1,1,1992,9,9,hru09           ,719.,.00,.703,2.19
1,1,1,1992,10,10,hru10           ,414.,.00,.414,.00
1,1,1,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
1,1,1,1992,12,12,hru12           ,132.,.00,.131,.00
1,1,1,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
2,1,2,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
2,1,2,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
2,1,2,1992,3,3,hru03           ,968.,.00,.968,.00
2,1,2,1992,4,4,hru04           ,905.,.00,.905,.00
2,1,2,1992,5,5,hru05           ,.209E+04,.00,2.05,.621E+07
2,1,2,1992,6,6,hru06           ,536.,.00,.535,.130E+07
2,1,2,1992,7,7,hru07           ,619.,.00,.619,.416E+07
2,1,2,1992,8,8,hru08           ,615.,.00,.603,.182E+07
2,1,2,1992,9,9,hru09           ,719.,.00,.703,2.19
2,1,2,1992,10,10,hru10           ,414.,.00,.414,.00
2,1,2,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
2,1,2,1992,12,12,hru12           ,132.,.00,.131,.00
2,1,2,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
3,1,3,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
3,1,3,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
3,1,3,1992,3,3,hru03           ,968.,.00,.968,.00
3,1,3,1992,4,4,hru04           ,905.,.00,.905,.00
3,1,3,1992,5,5,hru05           ,.209E+04,.00,2.05,.600E+07
3,1,3,1992,6,6,hru06           ,536.,.00,.535,.103E+07
3,1,3,1992,7,7,hru07           ,619.,.00,.619,.00
3,1,3,1992,8,8,hru08           ,615.,.00,.603,.176E+07
3,1,3,1992,9,9,hru09           ,719.,.00,.703,2.19
3,1,3,1992,10,10,hru10           ,414.,.00,.414,.00
3,1,3,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
3,1,3,1992,12,12,hru12           ,132.,.00,.131,.00
3,1,3,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
4,1,4,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
4,1,4,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
4,1,4,1992,3,3,hru03           ,968.,.00,.968,.00
4,1,4,1992,4,4,hru04           ,905.,.00,.905,.00
4,1,4,1992,5,5,hru05           ,.209E+04,.00,2.05,.108E+05
4,1,4,1992,6,6,hru06           ,536.,.00,.535,1.63
4,1,4,1992,7,7,hru07           ,619.,.00,.619,.00
4,1,4,1992,8,8,hru08           ,615.,.00,.603,.217E+05
4,1,4,1992,9,9,hru09           ,719.,.00,.703,2.19
4,1,4,1992,10,10,hru10           ,414.,.00,.414,.00
4,1,4,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
4,1,4,1992,12,12,hru12           ,132.,.00,.131,.00
4,1,4,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
5,1,5,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
5,1,5,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
5,1,5,1992,3,3,hru03           ,968.,.00,.968,.00
5,1,5,1992,4,4,hru04           ,905.,.00,.905,.00
5,1,5,1992,5,5,hru05           ,.209E+04,.00,2.05,6.37
5,1,5,1992,6,6,hru06           ,536.,.00,.535,1.63
5,1,5,1992,7,7,hru07           ,619.,.00,.619,.00
5,1,5,1992,8,8,hru08           ,615.,.00,.603,1.87
5,1,5,1992,9,9,hru09           ,719.,.00,.703,2.19
5,1,5,1992,10,10,hru10           ,414.,.00,.414,.00
5,1,5,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
5,1,5,1992,12,12,hru12           ,132.,.00,.131,.00
5,1,5,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
6,1,6,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
6,1,6,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
6,1,6,1992,3,3,hru03           ,968.,.00,.968,.00
6,1,6,1992,4,4,hru04           ,905.,.00,.905,.00
6,1,6,1992,5,5,hru05           ,.209E+04,.00,2.05,6.37
6,1,6,1992,6,6,hru06           ,536.,.00,.535,1.63
6,1,6,1992,7,7,hru07           ,619.,.00,.619,.00
6,1,6,1992,8,8,hru08           ,615.,.00,.603,1.87
6,1,6,1992,9,9,hru09           ,719.,.00,.703,2.19
6,1,6,1992,10,10,hru10           ,414.,.00,.414,.00
6,1,6,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
6,1,6,1992,12,12,hru12           ,132.,.00,.131,.00
6,1,6,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
7,1,7,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
7,1,7,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
7,1,7,1992,3,3,hru03           ,968.,.00,.968,.00
7,1,7,1992,4,4,hru04           ,905.,.00,.905,.00
7,1,7,1992,5,5,hru05           ,.209E+04,.00,2.05,5.99
7,1,7,1992,6,6,hru06           ,536.,.00,.535,1.53
7,1,7,1992,7,7,hru07           ,619.,.00,.619,.00
7,1,7,1992,8,8,hru08           ,615.,.00,.603,1.76
7,1,7,1992,9,9,hru09           ,719.,.00,.703,2.19
7,1,7,1992,10,10,hru10           ,414.,.00,.414,.00
7,1,7,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
7,1,7,1992,12,12,hru12           ,132.,.00,.131,.00
7,1,7,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
8,1,8,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
8,1,8,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
8,1,8,1992,3,3,hru03           ,968.,.00,.968,.00
8,1,8,1992,4,4,hru04           ,905.,.00,.905,.00
8,1,8,1992,5,5,hru05           ,.209E+04,.00,2.05,5.99
8,1,8,1992,6,6,hru06           ,536.,.00,.535,1.53
8,1,8,1992,7,7,hru07           ,619.,.00,.619,.00
8,1,8,1992,8,8,hru08           ,615.,.00,.603,1.76
8,1,8,1992,9,9,hru09           ,719.,.00,.703,2.19
8,1,8,1992,10,10,hru10           ,414.,.00,.414,.00
8,1,8,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
8,1,8,1992,12,12,hru12           ,132.,.00,.131,.00
8,1,8,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
9,1,9,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
9,1,9,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
9,1,9,1992,3,3,hru03           ,968.,.00,.968,.00
9,1,9,1992,4,4,hru04           ,905.,.00,.905,.00
9,1,9,1992,5,5,hru05           ,.209E+04,.00,2.05,5.99
9,1,9,1992,6,6,hru06           ,536.,.00,.535,1.53
9,1,9,1992,7,7,hru07           ,619.,.00,.619,.00
9,1,9,1992,8,8,hru08           ,615.,.00,.603,1.76
9,1,9,1992,9,9,hru09           ,719.,.00,.703,2.19
9,1,9,1992,10,10,hru10           ,414.,.00,.414,.00
9,1,9,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
9,1,9,1992,12,12,hru12           ,132.,.00,.131,.00
9,1,9,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
10,1,10,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
10,1,10,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
10,1,10,1992,3,3,hru03           ,968.,.00,.968,.00
10,1,10,1992,4,4,hru04           ,905.,.00,.905,.00
10,1,10,1992,5,5,hru05           ,.209E+04,.00,2.05,5.99
10,1,10,1992,6,6,hru06           ,536.,.00,.535,1.53
10,1,10,1992,7,7,hru07           ,619.,.00,.619,.00
10,1,10,1992,8,8,hru08           ,615.,.00,.603,1.76
10,1,10,1992,9,9,hru09           ,719.,.00,.703,2.19
10,1,10,1992,10,10,hru10           ,414.,.00,.414,.00
10,1,10,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
10,1,10,1992,12,12,hru12           ,132.,.00,.131,.00
10,1,10,1992,13,13,hru13           ,35.1,.00,.349E-01,.135E+06
11,1,11,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
11,1,11,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
11,1,11,1992,3,3,hru03           ,968.,.00,.968,.664E+07
11,1,11,1992,4,4,hru04           ,905.,.00,.905,.00
11,1,11,1992,5,5,hru05           ,.209E+04,.00,2.05,6.37
11,1,11,1992,6,6,hru06           ,536.,.00,.535,1.63
11,1,11,1992,7,7,hru07           ,619.,.00,.619,.00
11,1,11,1992,8,8,hru08           ,615.,.00,.603,1.87
11,1,11,1992,9,9,hru09           ,719.,.00,.703,2.19
11,1,11,1992,10,10,hru10           ,414.,.00,.414,.174E+07
11,1,11,1992,11,11,hru11           ,79.8,.00,.769E-01,.336E+06
11,1,11,1992,12,12,hru12           ,132.,.00,.131,.557E+06
11,1,11,1992,13,13,hru13           ,35.1,.00,.349E-01,.921E+04
12,1,12,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
12,1,12,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
12,1,12,1992,3,3,hru03           ,968.,.00,.968,.410E+06
12,1,12,1992,4,4,hru04           ,905.,.00,.905,.00
12,1,12,1992,5,5,hru05           ,.209E+04,.00,2.05,6.37
12,1,12,1992,6,6,hru06           ,536.,.00,.535,1.63
12,1,12,1992,7,7,hru07           ,619.,.00,.619,.00
12,1,12,1992,8,8,hru08           ,615.,.00,.603,1.87
12,1,12,1992,9,9,hru09           ,719.,.00,.703,2.19
12,1,12,1992,10,10,hru10           ,414.,.00,.414,.00
12,1,12,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
12,1,12,1992,12,12,hru12           ,132.,.00,.131,.00
12,1,12,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
13,1,13,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
13,1,13,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
13,1,13,1992,3,3,hru03           ,968.,.00,.968,.00
13,1,13,1992,4,4,hru04           ,905.,.00,.905,.00
13,1,13,1992,5,5,hru05           ,.209E+04,.00,2.05,6.37
13,1,13,1992,6,6,hru06           ,536.,.00,.535,1.63
13,1,13,1992,7,7,hru07           ,619.,.00,.619,.00
13,1,13,1992,8,8,hru08           ,615.,.00,.603,1.87
13,1,13,1992,9,9,hru09           ,719.,.00,.703,2.19
13,1,13,1992,10,10,hru10           ,414.,.00,.414,.00
13,1,13,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
13,1,13,1992,12,12,hru12           ,132.,.00,.131,.00
13,1,13,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
14,1,14,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
14,1,14,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
14,1,14,1992,3,3,hru03           ,968.,.00,.968,.00
14,1,14,1992,4,4,hru04           ,905.,.00,.905,.00
14,1,14,1992,5,5,hru05           ,.209E+04,.00,2.05,5.99
14,1,14,1992,6,6,hru06           ,536.,.00,.535,1.53
14,1,14,1992,7,7,hru07           ,619.,.00,.619,.00
14,1,14,1992,8,8,hru08           ,615.,.00,.603,1.76
14,1,14,1992,9,9,hru09           ,719.,.00,.703,2.19
14,1,14,1992,10,10,hru10           ,414.,.00,.414,.00
14,1,14,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
14,1,14,1992,12,12,hru12           ,132.,.00,.131,.00
14,1,14,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
15,1,15,1992,1,1,hru01           ,.186E+04,.00,1.85,.167E+08
15,1,15,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
15,1,15,1992,3,3,hru03           ,968.,.00,.968,.00
15,1,15,1992,4,4,hru04           ,905.,.00,.905,.00
15,1,15,1992,5,5,hru05           ,.209E+04,.00,2.05,5.99
15,1,15,1992,6,6,hru06           ,536.,.00,.535,1.53
15,1,15,1992,7,7,hru07           ,619.,.00,.619,.00
15,1,15,1992,8,8,hru08           ,615.,.00,.603,1.76
15,1,15,1992,9,9,hru09           ,719.,.00,.703,2.19
15,1,15,1992,10,10,hru10           ,414.,.00,.414,.00
15,1,15,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
15,1,15,1992,12,12,hru12           ,132.,.00,.131,.00
15,1,15,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
16,1,16,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
16,1,16,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
16,1,16,1992,3,3,hru03           ,968.,.00,.968,.00
16,1,16,1992,4,4,hru04           ,905.,.00,.905,.00
16,1,16,1992,5,5,hru05           ,.209E+04,.00,2.05,5.99
16,1,16,1992,6,6,hru06           ,536.,.00,.535,1.53
16,1,16,1992,7,7,hru07           ,619.,.00,.619,.00
16,1,16,1992,8,8,hru08           ,615.,.00,.603,1.76
16,1,16,1992,9,9,hru09           ,719.,.00,.703,2.19
16,1,16,1992,10,10,hru10           ,414.,.00,.414,.00
16,1,16,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
16,1,16,1992,12,12,hru12           ,132.,.00,.131,.00
16,1,16,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
17,1,17,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
17,1,17,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
17,1,17,1992,3,3,hru03           ,968.,.00,.968,.00
17,1,17,1992,4,4,hru04           ,905.,.00,.905,.00
17,1,17,1992,5,5,hru05           ,.209E+04,.00,2.05,5.99
17,1,17,1992,6,6,hru06           ,536.,.00,.535,1.53
17,1,17,1992,7,7,hru07           ,619.,.00,.619,.00
17,1,17,1992,8,8,hru08           ,615.,.00,.603,1.76
17,1,17,1992,9,9,hru09           ,719.,.00,.703,2.19
17,1,17,1992,10,10,hru10           ,414.,.00,.414,.00
17,1,17,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
17,1,17,1992,12,12,hru12           ,132.,.00,.131,.00
17,1,17,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
18,1,18,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
18,1,18,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
18,1,18,1992,3,3,hru03           ,968.,.00,.968,.00
18,1,18,1992,4,4,hru04           ,905.,.00,.905,.00
18,1,18,1992,5,5,hru05           ,.209E+04,.00,2.05,5.99
18,1,18,1992,6,6,hru06           ,536.,.00,.535,1.53
18,1,18,1992,7,7,hru07           ,619.,.00,.619,.00
18,1,18,1992,8,8,hru08           ,615.,.00,.603,1.76
18,1,18,1992,9,9,hru09           ,719.,.00,.703,2.19
18,1,18,1992,10,10,hru10           ,414.,.00,.414,.00
18,1,18,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
18,1,18,1992,12,12,hru12           ,132.,.00,.131,.00
18,1,18,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
19,1,19,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
19,1,19,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
19,1,19,1992,3,3,hru03           ,968.,.00,.968,.00
19,1,19,1992,4,4,hru04           ,905.,.00,.905,.00
19,1,19,1992,5,5,hru05           ,.209E+04,.00,2.05,.544E+07
19,1,19,1992,6,6,hru06           ,536.,.00,.535,.111E+07
19,1,19,1992,7,7,hru07           ,619.,.00,.619,.352E+07
19,1,19,1992,8,8,hru08           ,615.,.00,.603,.160E+07
19,1,19,1992,9,9,hru09           ,719.,.00,.703,.503E+07
19,1,19,1992,10,10,hru10           ,414.,.00,.414,.00
19,1,19,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
19,1,19,1992,12,12,hru12           ,132.,.00,.131,.00
19,1,19,1992,13,13,hru13           ,35.1,.00,.349E-01,.224E+06
20,1,20,1992,1,1,hru01           ,.186E+04,.00,1.85,.118E+08
20,1,20,1992,2,2,hru02           ,.215E+04,.00,2.15,.149E+08
20,1,20,1992,3,3,hru03           ,968.,.00,.968,.620E+07
20,1,20,1992,4,4,hru04           ,905.,.00,.905,.606E+07
20,1,20,1992,5,5,hru05           ,.209E+04,.00,2.05,.628E+07
20,1,20,1992,6,6,hru06           ,536.,.00,.535,.141E+07
20,1,20,1992,7,7,hru07           ,619.,.00,.619,.415E+07
20,1,20,1992,8,8,hru08           ,615.,.00,.603,.184E+07
20,1,20,1992,9,9,hru09           ,719.,.00,.703,.190E+07
20,1,20,1992,10,10,hru10           ,414.,.00,.414,.286E+07
20,1,20,1992,11,11,hru11           ,79.8,.00,.769E-01,.551E+06
20,1,20,1992,12,12,hru12           ,132.,.00,.131,.911E+06
20,1,20,1992,13,13,hru13           ,35.1,.00,.349E-01,.137E+05
21,1,21,1992,1,1,hru01           ,.186E+04,.00,1.85,.141E+07
21,1,21,1992,2,2,hru02           ,.215E+04,.00,2.15,.140E+08
21,1,21,1992,3,3,hru03           ,968.,.00,.968,.224E+07
21,1,21,1992,4,4,hru04           ,905.,.00,.905,.254E+07
21,1,21,1992,5,5,hru05           ,.209E+04,.00,2.05,.609E+07
21,1,21,1992,6,6,hru06           ,536.,.00,.535,.133E+07
21,1,21,1992,7,7,hru07           ,619.,.00,.619,.290E+07
21,1,21,1992,8,8,hru08           ,615.,.00,.603,.178E+07
21,1,21,1992,9,9,hru09           ,719.,.00,.703,.614E+06
21,1,21,1992,10,10,hru10           ,414.,.00,.414,.137E+07
21,1,21,1992,11,11,hru11           ,79.8,.00,.769E-01,.265E+06
21,1,21,1992,12,12,hru12           ,132.,.00,.131,.440E+06
21,1,21,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
22,1,22,1992,1,1,hru01           ,.186E+04,.00,.235E+05,.00
22,1,22,1992,2,2,hru02           ,.215E+04,.00,.538E+07,.277E+07
22,1,22,1992,3,3,hru03           ,968.,.00,.507E+06,.00
22,1,22,1992,4,4,hru04           ,905.,.00,.209E+06,.00
22,1,22,1992,5,5,hru05           ,.209E+04,.179E+05,2.05,.543E+07
22,1,22,1992,6,6,hru06           ,536.,.00,.535,.125E+07
22,1,22,1992,7,7,hru07           ,619.,.00,.106E+07,.00
22,1,22,1992,8,8,hru08           ,615.,.590E+04,.603,.159E+07
22,1,22,1992,9,9,hru09           ,719.,.00,.703,.384E+07
22,1,22,1992,10,10,hru10           ,414.,.00,.414,.00
22,1,22,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
22,1,22,1992,12,12,hru12           ,132.,.00,.131,.00
22,1,22,1992,13,13,hru13           ,35.1,.00,.349E-01,.185E+06
23,1,23,1992,1,1,hru01           ,.186E+04,.00,.384E+05,.933E+07
23,1,23,1992,2,2,hru02           ,.215E+04,.663E+05,.761E+05,.113E+08
23,1,23,1992,3,3,hru03           ,968.,.255E+05,.576E+06,.489E+07
23,1,23,1992,4,4,hru04           ,905.,.00,96.0,.465E+07
23,1,23,1992,5,5,hru05           ,.209E+04,.133E+06,2.05,.493E+07
23,1,23,1992,6,6,hru06           ,536.,.607E+05,.535,.113E+07
23,1,23,1992,7,7,hru07           ,619.,.717E+04,.106E+07,.318E+07
23,1,23,1992,8,8,hru08           ,615.,.435E+05,.603,.144E+07
23,1,23,1992,9,9,hru09           ,719.,.489E+05,.703,.385E+07
23,1,23,1992,10,10,hru10           ,414.,.183E+05,.618E+06,.214E+07
23,1,23,1992,11,11,hru11           ,79.8,.00,.110E+06,.411E+06
23,1,23,1992,12,12,hru12           ,132.,.135E+04,.208E+06,.679E+06
23,1,23,1992,13,13,hru13           ,35.1,.00,.349E-01,.184E+06
24,1,24,1992,1,1,hru01           ,.186E+04,.00,13.8,.111E+08
24,1,24,1992,2,2,hru02           ,.215E+04,.132E+06,.132E+06,.135E+08
24,1,24,1992,3,3,hru03           ,968.,.180E+05,2.54,.570E+07
24,1,24,1992,4,4,hru04           ,905.,338.,.905,.568E+07
24,1,24,1992,5,5,hru05           ,.209E+04,.214E+06,2.05,.590E+07
24,1,24,1992,6,6,hru06           ,536.,.799E+05,.535,.131E+07
24,1,24,1992,7,7,hru07           ,619.,.821E+04,545.,.389E+07
24,1,24,1992,8,8,hru08           ,615.,.702E+05,.603,.173E+07
24,1,24,1992,9,9,hru09           ,719.,.345E+05,.703,.440E+07
24,1,24,1992,10,10,hru10           ,414.,.639E+05,1.23,.259E+07
24,1,24,1992,11,11,hru11           ,79.8,214.,.398E+04,.499E+06
24,1,24,1992,12,12,hru12           ,132.,.191E+04,.144E+04,.825E+06
24,1,24,1992,13,13,hru13           ,35.1,.266E+04,.349E-01,.217E+06
25,1,25,1992,1,1,hru01           ,.186E+04,.00,1.85,.110E+08
25,1,25,1992,2,2,hru02           ,.215E+04,.929E+05,50.6,.141E+08
25,1,25,1992,3,3,hru03           ,968.,.127E+05,.968,.557E+07
25,1,25,1992,4,4,hru04           ,905.,238.,.905,.616E+07
25,1,25,1992,5,5,hru05           ,.209E+04,.151E+06,2.05,.595E+07
25,1,25,1992,6,6,hru06           ,536.,.564E+05,.535,.126E+07
25,1,25,1992,7,7,hru07           ,619.,.579E+04,.619,.421E+07
25,1,25,1992,8,8,hru08           ,615.,.495E+05,.603,.174E+07
25,1,25,1992,9,9,hru09           ,719.,.243E+05,.703,.440E+07
25,1,25,1992,10,10,hru10           ,414.,.451E+05,.414,.271E+07
25,1,25,1992,11,11,hru11           ,79.8,151.,143.,.524E+06
25,1,25,1992,12,12,hru12           ,132.,.135E+04,9.96,.866E+06
25,1,25,1992,13,13,hru13           ,35.1,.187E+04,.349E-01,.214E+06
26,1,26,1992,1,1,hru01           ,.186E+04,.00,1.85,.116E+08
26,1,26,1992,2,2,hru02           ,.215E+04,.655E+05,2.15,.150E+08
26,1,26,1992,3,3,hru03           ,968.,.893E+04,.968,.588E+07
26,1,26,1992,4,4,hru04           ,905.,168.,.905,.648E+07
26,1,26,1992,5,5,hru05           ,.209E+04,.106E+06,2.05,.632E+07
26,1,26,1992,6,6,hru06           ,536.,.397E+05,.535,.133E+07
26,1,26,1992,7,7,hru07           ,619.,.408E+04,.619,.443E+07
26,1,26,1992,8,8,hru08           ,615.,.349E+05,.603,.185E+07
26,1,26,1992,9,9,hru09           ,719.,.171E+05,.703,.467E+07
26,1,26,1992,10,10,hru10           ,414.,.318E+05,.414,.289E+07
26,1,26,1992,11,11,hru11           ,79.8,106.,5.16,.558E+06
26,1,26,1992,12,12,hru12           ,132.,950.,.131,.922E+06
26,1,26,1992,13,13,hru13           ,35.1,.132E+04,.349E-01,.228E+06
27,1,27,1992,1,1,hru01           ,.186E+04,.00,1.85,.112E+08
27,1,27,1992,2,2,hru02           ,.215E+04,.462E+05,2.15,.148E+08
27,1,27,1992,3,3,hru03           ,968.,.630E+04,.968,.579E+07
27,1,27,1992,4,4,hru04           ,905.,118.,.905,.629E+07
27,1,27,1992,5,5,hru05           ,.209E+04,.749E+05,2.05,.623E+07
27,1,27,1992,6,6,hru06           ,536.,.280E+05,.535,.133E+07
27,1,27,1992,7,7,hru07           ,619.,.288E+04,.619,.430E+07
27,1,27,1992,8,8,hru08           ,615.,.246E+05,.603,.183E+07
27,1,27,1992,9,9,hru09           ,719.,.121E+05,.703,.468E+07
27,1,27,1992,10,10,hru10           ,414.,.224E+05,.414,.284E+07
27,1,27,1992,11,11,hru11           ,79.8,74.9,.186,.550E+06
27,1,27,1992,12,12,hru12           ,132.,669.,.131,.909E+06
27,1,27,1992,13,13,hru13           ,35.1,931.,.349E-01,.228E+06
28,1,28,1992,1,1,hru01           ,.186E+04,.00,1.85,.116E+08
28,1,28,1992,2,2,hru02           ,.215E+04,.326E+05,2.15,.153E+08
28,1,28,1992,3,3,hru03           ,968.,.444E+04,.968,.611E+07
28,1,28,1992,4,4,hru04           ,905.,83.5,.905,.623E+07
28,1,28,1992,5,5,hru05           ,.209E+04,.528E+05,2.05,.647E+07
28,1,28,1992,6,6,hru06           ,536.,.197E+05,.535,.143E+07
28,1,28,1992,7,7,hru07           ,619.,.203E+04,.619,.438E+07
28,1,28,1992,8,8,hru08           ,615.,.173E+05,.603,.190E+07
28,1,28,1992,9,9,hru09           ,719.,.851E+04,.703,.501E+07
28,1,28,1992,10,10,hru10           ,414.,.158E+05,.414,.296E+07
28,1,28,1992,11,11,hru11           ,79.8,52.8,.769E-01,.571E+06
28,1,28,1992,12,12,hru12           ,132.,472.,.131,.945E+06
28,1,28,1992,13,13,hru13           ,35.1,656.,.349E-01,.245E+06
29,1,29,1992,1,1,hru01           ,.186E+04,.00,1.85,.135E+08
29,1,29,1992,2,2,hru02           ,.215E+04,.230E+05,2.15,.182E+08
29,1,29,1992,3,3,hru03           ,968.,.313E+04,.968,.711E+07
29,1,29,1992,4,4,hru04           ,905.,58.8,.905,.729E+07
29,1,29,1992,5,5,hru05           ,.209E+04,.372E+05,2.05,.769E+07
29,1,29,1992,6,6,hru06           ,536.,.139E+05,.535,.168E+07
29,1,29,1992,7,7,hru07           ,619.,.143E+04,.619,.513E+07
29,1,29,1992,8,8,hru08           ,615.,.122E+05,.603,.226E+07
29,1,29,1992,9,9,hru09           ,719.,.600E+04,.703,.589E+07
29,1,29,1992,10,10,hru10           ,414.,.111E+05,.414,.352E+07
29,1,29,1992,11,11,hru11           ,79.8,37.2,.769E-01,.682E+06
29,1,29,1992,12,12,hru12           ,132.,333.,.131,.113E+07
29,1,29,1992,13,13,hru13           ,35.1,463.,.349E-01,.287E+06
30,1,30,1992,1,1,hru01           ,.186E+04,.00,1.85,.616E+07
30,1,30,1992,2,2,hru02           ,.215E+04,.162E+05,2.15,.190E+08
30,1,30,1992,3,3,hru03           ,968.,.221E+04,.968,.723E+07
30,1,30,1992,4,4,hru04           ,905.,41.5,.905,.746E+07
30,1,30,1992,5,5,hru05           ,.209E+04,.262E+05,2.05,.801E+07
30,1,30,1992,6,6,hru06           ,536.,.982E+04,.535,.182E+07
30,1,30,1992,7,7,hru07           ,619.,.101E+04,.619,.526E+07
30,1,30,1992,8,8,hru08           ,615.,.862E+04,.603,.235E+07
30,1,30,1992,9,9,hru09           ,719.,.423E+04,.703,.618E+07
30,1,30,1992,10,10,hru10           ,414.,.785E+04,.414,.367E+07
30,1,30,1992,11,11,hru11           ,79.8,26.2,.769E-01,.710E+06
30,1,30,1992,12,12,hru12           ,132.,235.,.131,.112E+07
30,1,30,1992,13,13,hru13           ,35.1,326.,.349E-01,.384E+05
31,1,31,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
31,1,31,1992,2,2,hru02           ,.215E+04,.114E+05,2.15,.186E+08
31,1,31,1992,3,3,hru03           ,968.,.156E+04,.968,.729E+07
31,1,31,1992,4,4,hru04           ,905.,29.2,.905,.664E+07
31,1,31,1992,5,5,hru05           ,.209E+04,.185E+05,2.05,.828E+07
31,1,31,1992,6,6,hru06           ,536.,.692E+04,.535,.184E+07
31,1,31,1992,7,7,hru07           ,619.,711.,.619,.535E+07
31,1,31,1992,8,8,hru08           ,615.,.607E+04,.603,.243E+07
31,1,31,1992,9,9,hru09           ,719.,.298E+04,.703,.643E+07
31,1,31,1992,10,10,hru10           ,414.,.553E+04,.414,.360E+07
31,1,31,1992,11,11,hru11           ,79.8,18.5,.769E-01,.734E+06
31,1,31,1992,12,12,hru12           ,132.,165.,.131,.115E+07
